STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
113,Bò chảo Tân Định,Bò chảo,Món khô,181 Đinh Tiên Hoàng,Quận 1,06:30 - 22:00,50k,
114,Mì trộn muối ớt Bà Quàng,Mì trộn,Món nước,"40/49 Lê Thị Riêng, p.17",Quận Gò Vấp,06:00 - 22:00,35-50k,
115,Burger Trịu Viu,"Burger, Mì ý",Fastfood,"Xe 1 : 348 Tôn Dán - q.4
Xe 2 : 353 Mã Lò - Binh Tân
Xe 3 : 12 Huÿnh Thúc Kháng - q.1",Quận 4,09:30 - 22:00,40-60k,
116,Bánh bèo Cô Ba,Bánh bèo,Món khô,"123 Nguyễn Thông, P9 Quận 3",Quận 3,16h-hết,,
117,Bún bò Ngọc Nhân,Bún bò,Món nước,102 Ngô Thị Thu Minh,Quận Tân Bình,07:30 - 13:00 | 16:30 - 21:00,45-60k,
118,Bánh mì nướng muối ớt Phúc Mập,Bánh mì nướng,Bánh mì,"271 Tân Hương, Tân Quý, Tân Phú
235 Nguyễn Thái Bình, Tân Bình",Quận Tân Bình,14:00 - 21:00,27k,
119,Cơm Tấm 64A,Cơm tấm,Cơm,"64A Lý Nam Đế, P. 7, Quận 11",Quận 11,6:20 - 12:00,,
120,Buffet Cơm Chay,Cơm chay,Đồ chay,47 Bis Võ Văn Tần,Quận 3,,Mỗi tháng cứ 2 ngày mùng 1 với 15,
121,Lẩu bò 150 (Không gian cafe đẹp),Lẩu bò,Lẩu,"150 Phan Xích Long, Phú nhuận",Quận Phú Nhuận,16h-23h,200k/2 người,
122,Nấu mì Hàn Quốc tự động MYTO,Cửa hàng tiện lợi,Món khô,"20-22 Phạm Ngọc Thạch, Quận 3",Quận 3,7h-0h,,
123,Hủ tiếu gõ bình dân,Hủ tiếu,Món nước,"368 Nơ Trang Long, P.13, Bình Thạnh",Quận Bình Thạnh,,,
124,Bánh canh cua Cầu Calmette,Bánh canh cua,Món nước,"19 Calmette, Phường Nguyễn Thái Bình, Quận 1 ",Quận 1,11h - 17h ,,
125,Bánh canh của Cô Tư,Banh canh cua,Món nước,"45 Bạch Vân, P.5, Quận 5",Quận 5,14h-18h,50-100k,
126,Bún bò 25k lề đường Hai Ba Trưng,Bún bò,Món nước,Đối diện 151C Hai Bà Trưng,Quận 3,10h-hết,25k,
127,Bún riêu cua,Bún riêu,Món nước,120 Hậu Giang,Quận 6,18:00 - 23:59,50-60k,
128,Mì trộn Dách Lou,Mì trộn,Ăn vặt,75D Phú Thọ,Quận 11,10h-23h,,
129,Bánh mì xiên nướng đông khách,Bánh mì,Bánh mì,"375 Nguyễn Trãi, P.7",Quận 5,sáng sớm,15k,
130,"Ăn vặt SPEIT (mì ỳ, thịt bọc trứng)",Đồ ăn vặt xịn,Ăn vặt,349/16 Nguyễn Trãi,Quận 5,11h-22h,,
131,Xúc xích đức Leon King,Xúc xích đức,Ăn vặt,"491/32 Nguyễn Văn Công, P.3",Quận Gò Vấp,8h-21h,,
132,Bánh mì thịt nướng đông khách,Bánh mì,Bánh mì,"247 Hoàng Sa, Tân định",Quận 1,6h30-14h,,
133,Xôi Bánh Mì Cô Tuyền,Xôi - Bánh mì,Bánh mì,"82 Nguyễn Du, Bến Nghé",Quận 1,05:00 - 09:30,25k,
134,Núp Coffee & Tea,Cà phê trân châu,Quán nước,"45 Dương Đình Nghệ, P8, Q11
906 Trường Sa, P13, Q3
20 Tân Hoà Đông, P14, Q6
320 Bà Hạt, P9, Q10",Quận 10,08:00 - 22:00,40-60k,
135,Phở Thu (Phở trộn),"Phở nước, trộn",Món nước,"433 Hậu Giang, P.11",Quận 6,6h30-1h30 sáng hôm sau,,
136,Chickita - Gà nướng lửa hồng,Gà nướng,Sang choảnh - Không gian xinh,"230 Nguyễn Văn Hưởng, P. Thảo Điền,  Tp. Thủ Đức
94 Hồ Tùng Mậu, P. Bến Nghé,  Quận 1",Quận 1,10:30 - 20:45,100-300k,
137,Nem nướng - Chả lagi,Nem nướng - Chả lagi,Món khô,43/1 Tăng Bạt Hổ,Quận Bình Thạnh,15:30 - 22:00,30k,
138,The B6.Saigon,Box đồ ăn thập cẩm Hàn Quốc,Sang choảnh - Không gian xinh,"157/28D Nguyễn Gia Trí, P.25",Quận Bình Thạnh,9:00 - 22:00,2xx,
139,Bánh Mì 3 Cô - chợ Nguyễn Văn Trỗi,"Bánh mì xíu mại ngon, thịt chả",Bánh mì,"217 Lê Văn Sỹ , Phường 13, Quận 3",Quận 3,06H00 - 11H00,15k-25k,
140,Quán chay Thanh Lạc,Chay,Đồ chay,144 Nguyễn Tất Thành,Quận 4,10h30-21h,,
141,Ramen Danbo,Mì ramen,Món nước,8a/7b1 Thái Văn Lung,Quận 1,,,
142,Bún riêu vị bắc Cô Hương Béo,Bún riêu,Món nước,"110 Cao Thắng, Phường 4
19B Nguyễn Thị Minh Khai, Quận 1",Quận 3,6h - 21h30,45-60k,
143,Xủi cảo Hà Tôn Quyền ,Xủi Cảo,Món nước,"162 Hà Tôn Quyền, Q11",Quận 11,15h-0h," 50k-100k
",
144,Mì Trộn Nghèo,Mì trộn,Món khô,"42CT Tam Đảo, Q.10",Quận 10,(12h-23h),15k-35k,
145,Hẻm Trộn Ăn Vặt,Ăn vặt,Ăn vặt,"2 Nguyễn Lâm, Bình Thạnh",Quận Bình Thạnh,9h-22h,15k-60k,
146,Xôi Ngọc,Xôi ,Món khô,"101 Vạn Kiếp, Bình Thạnh ",Quận Bình Thạnh,(6-10h; 15-23h," 35k
",
147,Mì Hoành Thánh Sủi Cảo,Mì,Món nước,388 CMT8 ,Quận 3,(6-22h)," 25k
",
148,Mì Quảng Trộn Bắp Giò Cô Yến,Mì quảng,Món nước,"736/31 Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Phường 05, Quận Tân Bình, Hồ Chí Minh",Quận Tân Bình,"6-10h30; 14h30-18h30 (Thứ 6 nghỉ)","30-40k
",
149,Buffet cơm chay,Cơm chay,Cơm,"47Bis Võ Văn Tần Quận 3
",Quận 3,(10h30-14h),50k,
150,Bánh đúc hành phi,Bánh đúc,Món nước,"100/14 Thích Quảng Đức, P5, Phú Nhuận",Quận Phú Nhuận,từ 11h trưa đến hết,22-27k,
151,Lẩu Sa Tế Uyên Ương,Lẩu,Lẩu,"213 Trần Tuấn khải, P.7, Q.5",Quận 5,"170-250k",18h-23h,
152, Bún bò Huế Hoàng Sa,Bún bò Huế,Món nước,"725 Hoàng Sa, Quận 3",Quận 3,35k-50k,17h-19h,2 tiếng rất nhanh hết
153,Mì Ốc Hên Dì Lan,Mì,Món nước,"1A Cư Xá Đồng Tiến, Thành Thái ,Q.10
24 Đường Số 1, P.16, Gò Vấp
69/1/28 Nguyễn Gia Trí, P.25, Bình Thạnh
",,08:30 - 20:00,42k,
154,Bún măm Đầu Cá,Bún,Món nước,"98 Diên Hồng, Bình Thạnh",Quận Bình Thạnh,9h-20h,50k,
155, Bánh mì cụ lý,Bánh mì,Bánh mì,"189 Hai Bà Trưng, Q3",Quận 3,6h-9h,25k,
156,Bánh mì Đồng Nai,Bánh mì,Bánh mì,"70 Đồng Nai, P.15, Q.10",Quận 10,6h-13h,"17k",
157, Bún xì dầu,Bún xì dầu,Món nước,"01 Quách văn tuấn, p.12, Tân Bình",Quận Tân Bình,9h-20h,"40k
",
158,Bánh mì chiên tôm - chả giò,Bánh mì,Bánh mì,"403 Đoàn văn bơ, p13, quận 4",Quận 4,12h30-17h30,,
159,Mì quảng - Hủ tiếu mực,Mì quảng,Món nước,"243B Nguyễn Thượng Hiền, P.6, Bình thạnh",Quận Bình Thạnh,6h-20h,59k-70k,
160,Bánh mì Chả Cá Nha Trang,Bánh mì,Bánh mì,"12 Nguyễn Thị Minh Khai, Q1",Quận 1,6h-2h sáng,20k-30k,
